id,nombre,codigo
1,451 Editores,DLV00004461
2,A Sense of Music  S.L. Bellaterra Música Ed.,DLV00012901
3,A buen paso S.C.P.,DLV00010241
4,ACV Edicions,DLV00000881
5,AENOR Internacional  S.A.U.,DLV00006441
6,Abada Editores,DLV00010301
7,Acali SCP,DLV00004481
8,Acantilado,DLV00003421
9,Addison Wesley,DLV00034645
10,Adesiara Editorial,DLV00015041
11,Agencia Estatal Boletín Oficial del Estado,DLV00008941
12,Aguilar,DLV00003921
13,Aguilar Ocio,DLV00011721
14,Aizkorri,DLV00000601
15,Akiara Books,DLV00088475
16,Al Poste Ediciones,DLV00022727
17,Alai Argitaletxea,DLV00063351
18,Alai Proiektuak  SL,DLV00058747
19,Alamut,DLV00012801
20,Alba Editorial,DLV00012001
21,Alberto Santos  Editor / Imágica,DLV00044032
22,Albertí Editor  S.L,DLV00009221
23,Alevosía,DLV00014282
24,Alfa Centauro,DLV00012221
25,Alfabeto Editorial SL,DLV00097635
26,Alfaguara,DLV00003941
27,Algaida Editores,DLV00000363
28,Algar libros S.L.U.,DLV00002181
29,Alhambra,DLV00047508
30,Alhena Fábrica de Contenidos  S.L.,DLV00010261
31,Alhucema (Edelvives),DLV00005401
32,Alianza Editorial,DLV00000362
33,Alienta Editorial,DLV00004541
34,Alisis,DLV00025785
35,Almadraba,DLV00087736
36,Almadraba Editorial,DLV00001561
37,Almadraba Infantil y Juvenil,DLV00006903
38,Altamarea Ediciones,DLV00088375
39,Altea,DLV00003961
40,Alvarellos Editora,DLV00000724
41,Amaníaco ediciones,DLV00014061
42,Amat Editorial,DLV00005462
43,Amazing Books,DLV00067100
44,Amorrortu Editores España SL,DLV00003121
45,Anaconda Editions,DLV00102853
46,Anaya ELE,DLV00000365
47,Anaya Educación,DLV00000364
48,Anaya Infantil y Juvenil,DLV00000366
49,Anaya Multimedia,DLV00000361
50,Anaya Touring,DLV00000374
51,Andana Editorial,DLV00003481
52,Andavira Editora,DLV00006461
53,Angle Editorial,DLV00001262
54,Animallibres  S.L.,DLV00002521
55,Antoni Bosch Editor  S.A.,DLV00000791
56,Apache Libros,DLV00062651
57,Apila Ediciones,DLV00014441
58,Ara Llibres,DLV00009261
59,Ara Mini,DLV00025788
60,Arcadia,DLV00016942
61,Arco Libros - La Muralla  S.L.,DLV00000707
62,Arcopress Ediciones,DLV00011964
63,Areté,DLV00003522
64,Aristas Martínez Ediciones,DLV00035025
65,Arkano Books,DLV00006842
66,Armaenia Editorial,DLV00062350
67,Arpa Editores,DLV00058023
68,Arrobabooks,DLV00014841
69,Art Blume  S.L.,DLV00040146
70,Art62,DLV00004201
71,ArteDARDO S.L,DLV00014761
72,Arzalia Ediciones,DLV00083975
73,Asertos,DLV00058988
74,Asociación Cultural y Científica Iberoamericana (ACCI),DLV00017087
75,Associació de Mestres Rosa Sensat,DLV00005441
76,Astiberri Ediciones,DLV00012981
77,Atecyr,DLV00043771
78,Athenaica Ediciones Universitarias,DLV00025461
79,Atmósfera Literaria  S.L.,DLV00015081
80,Atril Varios,DLV00010041
81,Auga Editora,DLV00032044
82,Austral,DLV00011001
83,Automática Editorial,DLV00015562
84,Axac,DLV00014882
